"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB020",0.124308373344585,0,0,0.106588765565914,0,0.168515151617498,0,0.0391991026985765,0.0388006036990093,0,0.054987531385896,0,0.0408745074360985,0.17924913012066,0.0193494853768616,0.219908890084011,0,0,0,0.00821845867088919,0,0
"SEQC_NB021",0.134566335867854,0.0848199315731226,0,0.175205188494386,0.17231857073023,0.059166428347165,0.0375253658493969,0.0608863595266207,0.0204404448264859,0,0.0407924589939213,0,0.00968797827894249,0.0453363011030951,0.0332311221908526,0.126023514217927,0,0,0,0,0,0
"SEQC_NB022",0.0186516095340723,0,0,0.0869668461399225,0,0.264430735429266,0,0.0923937579341281,0.0322544783641823,0,0,0.0447468256130759,0,0.158385410268963,0.0366698077879674,0.223890937418084,0.00786839769076976,0,0,0.00594040703429102,0.0278007867852777,0
"SEQC_NB023",0.152000580968006,0,0,0.206610242737645,0,0.105034873836529,0.00887477724131216,0.111897260142045,0.0399304661158627,0,0.0591180586474158,0,0.0229348731276328,0.0872040487401928,0.0236042626856493,0.136017470409073,0,0.00825166615727427,0,0.0385214191913621,0,0
"SEQC_NB024",0.110212677548788,0,0.0459392835903663,0.0550064098068646,0,0.148898753563928,0.094034582354335,0.0403506266397123,0.00152752956771187,0,0.030972175018164,0,0.083811602881724,0,0.00511503209972209,0.348621909898137,0,0,0.035509417030547,0,0,0
"SEQC_NB025",0,0.00702383276930743,0,0.0581661274749995,0,0.172021288221178,0,0.0998731358775903,0.0281157776300109,0,0.00300035458863385,0.0336803200962278,0,0.386226769213238,0,0.15347622150063,0.0050885966276546,0,0.0165245220789896,0,0.0368030539215413,0
"SEQC_NB026",0.188444898344664,0.0167335393005616,0,0.0794365706963618,0,0.226283768207865,0.0196894789425367,0.0517862731400317,0.0639522047013408,0,0.0814159785045856,0,0.0199764441987117,0.0871992615465331,0.0161763340451108,0.0781860935797986,0,0.0199525254540875,0,0.0507666293378106,0,0
"SEQC_NB027",0.0514727482354138,0.00285757954127049,0,0.0681549996306796,0,0.106258504175731,0,0.0216375558519092,0.0586546039437227,0,0.0862870667259758,0.00229296800224573,0.0942927113460376,0.230986138583489,0.0595594569008356,0.192521431618947,0,0,0.0250242354437429,0,0,0
"SEQC_NB028",0.0870469898628501,0,0,0.18284785344733,0.019796452906911,0.134892803758029,0,0.080439481686548,0.0326148119813017,0,0.0339681240197865,0.00511913533068218,0.0378117696162675,0.165895272037586,0.0265196686601797,0.193047636692528,0,0,0,0,0,0
"SEQC_NB029",0.0016926174998734,0.00449316479685442,0.000420006106752965,0,0,0.169495823456393,0,0.0390360105843335,0.0292508481671669,0,0.122161725556706,0,0,0.558560706640114,0,0.0311246924602024,0.012786497757868,0,0,0.0309779069737349,0,0
